id,name,description,created_at,updated_at
0b105f87-e0a5-45dc-8ce7-f8632088f390,Western,,"2021-06-16 20:14:09.310517+00","2021-06-16 20:14:09.310533+00"
120a21cf-9097-479e-904a-13dd7198c1dd,Adventure,,"2021-06-16 20:14:09.309818+00","2021-06-16 20:14:09.309836+00"
1cacff68-643e-4ddd-8f57-84b62538081a,Drama,,"2021-06-16 20:14:09.309965+00","2021-06-16 20:14:09.309981+00"
237fd1e4-c98e-454e-aa13-8a13fb7547b5,Romance,,"2021-06-16 20:14:09.310057+00","2021-06-16 20:14:09.310073+00"
2f89e116-4827-4ff4-853c-b6e058f71e31,Sport,,"2021-06-16 20:14:09.310861+00","2021-06-16 20:14:09.310878+00"
31cabbb5-6389-45c6-9b48-f7f173f6c40f,Talk-Show,,"2021-06-16 20:14:09.310908+00","2021-06-16 20:14:09.310924+00"
3d8d9bf5-0d90-4353-88ba-4ccc5d2c07ff,Action,,"2021-06-16 20:14:09.309735+00","2021-06-16 20:14:09.309765+00"
526769d7-df18-4661-9aa6-49ed24e9dfd8,Thriller,,"2021-06-16 20:14:09.310103+00","2021-06-16 20:14:09.310119+00"
5373d043-3f41-4ea8-9947-4b746c601bbd,Comedy,,"2021-06-16 20:14:09.310196+00","2021-06-16 20:14:09.310212+00"
55c723c1-6d90-4a04-a44b-e9792040251a,Family,,"2021-06-16 20:14:09.310288+00","2021-06-16 20:14:09.310304+00"
56b541ab-4d66-4021-8708-397762bff2d4,Music,,"2021-06-16 20:14:09.310011+00","2021-06-16 20:14:09.310027+00"
63c24835-34d3-4279-8d81-3c5f4ddb0cdc,Crime,,"2021-06-16 20:14:09.310425+00","2021-06-16 20:14:09.310441+00"
6a0a479b-cfec-41ac-b520-41b2b007b611,Animation,,"2021-06-16 20:14:09.310242+00","2021-06-16 20:14:09.310258+00"
6c162475-c7ed-4461-9184-001ef3d9f26e,Sci-Fi,,"2021-06-16 20:14:09.309917+00","2021-06-16 20:14:09.309934+00"
6d141ad2-d407-4252-bda4-95590aaf062a,Documentary,,"2021-06-16 20:14:09.310563+00","2021-06-16 20:14:09.310579+00"
9c91a5b2-eb70-4889-8581-ebe427370edd,Musical,,"2021-06-16 20:14:09.310379+00","2021-06-16 20:14:09.310395+00"
a886d0ec-c3f3-4b16-b973-dedcf5bfa395,Short,,"2021-06-16 20:14:09.310471+00","2021-06-16 20:14:09.310487+00"
b92ef010-5e4c-4fd0-99d6-41b6456272cd,Fantasy,,"2021-06-16 20:14:09.309869+00","2021-06-16 20:14:09.309886+00"
c020dab2-e9bd-4758-95ca-dbe363462173,War,,"2021-06-16 20:14:09.310673+00","2021-06-16 20:14:09.31069+00"
ca124c76-9760-4406-bfa0-409b1e38d200,Biography,,"2021-06-16 20:14:09.310333+00","2021-06-16 20:14:09.31035+00"
ca88141b-a6b4-450d-bbc3-efa940e4953f,Mystery,,"2021-06-16 20:14:09.310149+00","2021-06-16 20:14:09.310165+00"
e508c1c8-24c0-4136-80b4-340c4befb190,Reality-TV,,"2021-06-16 20:14:09.310767+00","2021-06-16 20:14:09.310784+00"
eb7212a7-dd10-4552-bf7b-7a505a8c0b95,History,,"2021-06-16 20:14:09.310609+00","2021-06-16 20:14:09.310627+00"
f24fd632-b1a5-4273-a835-0119bd12f829,News,,"2021-06-16 20:14:09.310955+00","2021-06-16 20:14:09.310972+00"
f39d7b6d-aef2-40b1-aaf0-cf05e7048011,Horror,,"2021-06-16 20:14:09.310814+00","2021-06-16 20:14:09.31083+00"
fb58fd7f-7afd-447f-b833-e51e45e2a778,Game-Show,,"2021-06-16 20:14:09.310721+00","2021-06-16 20:14:09.310737+00"
